"시점","항목",0
"1970","기대여명(전체) (년)",62.27305
"1971","기대여명(전체) (년)",62.69237
"1972","기대여명(전체) (년)",63.09909
"1973","기대여명(전체) (년)",63.49366
"1974","기대여명(전체) (년)",63.87659
"1975","기대여명(전체) (년)",64.24838
"1976","기대여명(전체) (년)",64.60943
"1977","기대여명(전체) (년)",64.96018
"1978","기대여명(전체) (년)",65.30103
"1979","기대여명(전체) (년)",65.63236
"1980","기대여명(전체) (년)",66.14746
"1981","기대여명(전체) (년)",66.66415
"1982","기대여명(전체) (년)",67.1674
"1983","기대여명(전체) (년)",67.65403
"1984","기대여명(전체) (년)",68.30106
"1985","기대여명(전체) (년)",68.91016
"1986","기대여명(전체) (년)",69.53312
"1987","기대여명(전체) (년)",70.12731
"1988","기대여명(전체) (년)",70.65048
"1989","기대여명(전체) (년)",71.15583
"1990","기대여명(전체) (년)",71.65935
"1991","기대여명(전체) (년)",72.15445
"1992","기대여명(전체) (년)",72.60547
"1993","기대여명(전체) (년)",73.10137
"1994","기대여명(전체) (년)",73.4738
"1995","기대여명(전체) (년)",73.81449
"1996","기대여명(전체) (년)",74.23883
"1997","기대여명(전체) (년)",74.68451
"1998","기대여명(전체) (년)",75.11985
"1999","기대여명(전체) (년)",75.49485
"2000","기대여명(전체) (년)",76.00698
"2001","기대여명(전체) (년)",76.49686
"2002","기대여명(전체) (년)",76.82685
"2003","기대여명(전체) (년)",77.26707
"2004","기대여명(전체) (년)",77.76495
"2005","기대여명(전체) (년)",78.24303
"2006","기대여명(전체) (년)",78.77809
"2007","기대여명(전체) (년)",79.15561
"2008","기대여명(전체) (년)",79.60368
"2009","기대여명(전체) (년)",80.03806
"2010","기대여명(전체) (년)",80.23672
"2011","기대여명(전체) (년)",80.61721
"2012","기대여명(전체) (년)",80.86802
"2013","기대여명(전체) (년)",81.36142
"2014","기대여명(전체) (년)",81.79783
"2015","기대여명(전체) (년)",82.06349
"2016","기대여명(전체) (년)",82.3562
"2017","기대여명(전체) (년)",82.68809
"2018","기대여명(전체) (년)",82.73527
"2019","기대여명(전체) (년)",83.28613
"2020","기대여명(전체) (년)",83.4805
"2021","기대여명(전체) (년)",83.61393
